id,name,display_name,partisan,first_poll,last_poll,url,notes
641,Boston Globe/Becker Research,Becker Research,,1971-05-08,1972-11-04,https://www.bostonglobe.com/,
640,Boston Globe/Research Analysis,Boston Globe/Research Analysis,,1979-05-16,1980-10-26,,
65,Boston Herald,Boston Herald,,1984-10-28,1996-08-20,,
66,Bowdoin College,Bowdoin College,,1995-09-29,1995-09-29,,
1898,Bowling Green State University/YouGov,Bowling Green State University Democracy and Public Policy Research Network/YouGov,,2024-09-27,2025-04-24,https://www.bgsu.edu/arts-and-sciences/democracy-and-public-policy-research-network/bgsu-poll.html,
877,Boxer,Boxer,,1992-10-29,1992-10-29,,
67,Braun,Braun Research,,2008-04-01,2020-09-15,https://www.braunresearch.com/,
1628,Breakthrough Campaigns,Breakthrough Campaigns,,2020-10-06,2024-11-26,https://www.breakthroughcampaigns.com/,
1803,Breakthrough Research,Breakthrough Research,,,,https://sachsmedia.com/breakthrough-research-services-karen-cyphers/,
1749,Brigham Young Center for the Study of Elections and Democracy,Brigham Young University Center for the Study of Elections and Democracy,,2014-10-22,2022-08-15,https://csed.byu.edu/,
70,Brown U.,Brown University A. Alfred Taubman Center for American Politics and Policy,,1990-07-12,2016-04-21,https://watson.brown.edu/taubman/polls,
1744,Bruno Political Consulting,Bruno Political Consulting,,2022-09-18,2022-09-18,https://www.brunopoliticalconsulting.com/,
71,Bullet,Bullet,,1996-10-22,1996-10-28,,
1697,Bullfinch,The Bullfinch Group,,2021-03-08,2025-09-11,https://www.thebullfinchgroup.com/,
72,Burlington Free Press,Burlington Free Press,,1992-09-25,1992-09-25,,
1223,Burning Glass,Burning Glass,,2015-04-15,2015-04-15,http://burningglassconsulting.com/,
79,CBS News,CBS News,,1972-09-11,2020-06-02,https://www.cbsnews.com/feature/cbs-news-polls/,
81,CBS/Telenoticias,CBS/Telenoticias,,1996-10-27,1996-10-27,,
343,Nordhaus Research,Nordhaus Research,,1988-10-30,1994-11-02,,
933,Anzalone Liszt Grove,Anzalone Liszt Grove,,2004-07-02,2021-12-07,https://algpolling.com/,
1738,Applecart,Applecart,,2022-07-27,2022-07-27,https://www.applecart.co/,
1402,Aqua Opinion and Policy Research,Aqua Opinion and Policy Research,,2012-10-14,2012-10-14,https://example.com,
1843,Arc Insights,Arc Insights,,2023-11-14,2024-10-06,https://arcinsights.com/,
31,Arizona Chamber Info,Arizona Chamber Info,,1999-02-15,1999-02-15,,
32,Arizona Daily Star,Arizona Daily Star,,1996-09-26,1996-09-26,,
1660,CEPEX,Center for Excellence in Project Execution,,2016-08-19,2016-08-19,https://cepex.newswire.com/,
1450,1892 Polling,1892 Polling,,2018-09-25,2025-09-04,https://www.linkedin.com/company/1892llc,
1879,1983 Labs,1983 Labs,,2024-06-30,2024-06-30,https://www.1983labs.com/,
1463,1st Tuesday Campaigns,1st Tuesday Campaigns,,2018-10-06,2018-10-06,http://1sttuesdaycampaigns.com,
746,"20/20 Insight, LLC",20/20 Insight,,2011-01-28,2023-09-28,http://www.2020insightllc.com/,
1813,3D Strategic Research,3D Strategic Research,,2023-08-17,2023-08-17,https://www.linkedin.com/in/davidkanevsky/,
1881,3W Insights,3W Insights,,2024-07-13,2024-07-17,https://www.why3wi.com/,
9,A&A Research,A&A Research,,2000-10-15,2002-10-22,,
1935,AARP Research,AARP Research,,,,https://www.aarp.org/pri/departments/research/,
816,ABC News,ABC News,,1979-05-01,2012-09-10,https://abcnews.go.com/,
1931,ABC News/Ipsos,ABC News/Ipsos,,2020-08-12,2024-11-01,https://www.langerresearch.com/category/abc-news-polls/,
1704,ABC/Washington Post,ABC News/The Washington Post,,1978-08-11,2024-08-13,https://www.washingtonpost.com/politics/polling/,
682,AFL-CIO,AFL-CIO,,,,,
1042,AFSCME Polling Center,AFSCME Polling Center,,2013-07-27,2013-07-27,,
16,AJC,AJC,,,,,
850,AJF & Associates,Arthur J. Finkelstein & Associates,,1996-08-28,1996-08-28,,
1780,ALG Research,ALG Research,,,,https://impactresearch.com/,
1509,ALG Research/GBAO,ALG Research/GBAO,,2019-09-27,2019-09-27,https://twitter.com/JakeSherman/status/1177715280010723329,
1680,ALG Research/Hart Research Associates,ALG Research/Hart Research Associates,,2021-05-25,2021-05-25,https://algpolling.com/,
1360,AP-NORC,AP-NORC,,2017-03-27,2025-09-15,http://www.apnorc.org/Pages/default.aspx,
30,AP/Knowledge Networks,AP/Knowledge Networks,,2007-11-12,2010-10-07,,
1126,APC Research,APC Research,,2014-09-12,2014-10-21,http://www.apc.org/en/pubs/research,
23,ARG,American Research Group,,1987-09-16,2025-09-26,https://americanresearchgroup.com/,
1679,ARW Strategies,ARW Strategies,,2021-06-27,2024-09-25,https://www.arwstrategies.com/,
1532,ASA Marketing Group,ASA Marketing Group,,2006-09-11,2006-10-28,https://www.asastrategicfunding.com/?page_id=2,
10,Abacus Associates,Abacus Associates,,2006-09-18,2010-10-21,http://www.abacusassoc.com/,
1585,Abacus Data,Abacus Data,,2020-06-13,2023-10-25,https://abacusdata.ca/home/,
972,Abt SRBI,Abt SRBI,,2004-07-22,2017-06-08,https://www.abtassociates.com/,
1741,ActiVote,ActiVote,,2021-04-30,2025-09-30,https://www.activote.net/,
14,Action Research,Action Research,,2002-09-15,2002-09-15,,
15,Action Solutions,Action Solutions,,2010-08-11,2016-06-02,,
1219,Adrian Gray Consulting (telephone),Adrian Gray Consulting LLC,,2014-10-09,2016-01-27,https://www.linkedin.com/in/adriangray,
1191,Advantage Inc.,Advantage Inc.,,2015-06-10,2025-09-24,https://www.advainc.com/,
1755,African American Research Collaborative,African American Research Collaborative,,2022-10-11,2022-11-07,https://africanamericanresearch.us/,
17,Akron Beacon Journal,Akron Beacon Journal,,1988-09-15,1988-10-13,,
760,Alabama Education Association,Capital Survey Research Center,,2002-08-06,2002-08-06,,
18,Alabama Poll,Alabama Poll,,2000-01-17,2000-09-27,,
19,Alabama State U.,Alabama State University,,2007-12-16,2012-03-08,https://www.alasu.edu/academics/researchcenters/centerforleadershipandpublicpolicy/center-leadership-and-public-policy,
1334,Alaska Survey Research,Alaska Survey Research,,2003-07-16,2025-08-01,https://alaskasurveyresearch.com/,
20,Albuquerque Journal,Albuquerque Journal,,1988-10-06,1992-09-11,,
1756,Alloy Analytics,Alloy Analytics,,2022-11-01,2022-11-01,https://www.alloyanalytics.org/,
21,Alpha Research Associates,Alpha Research Associates,,1988-05-05,1999-12-18,,
1727,Alvarado Strategies,Alvarado Strategies,,2022-07-27,2023-02-03,https://www.alvaradostrategies.com/,
1553,Amber Integrated,Amber Integrated,,2020-03-08,2022-11-02,https://amberintegrated.com/,
1373,America First Policies,America First Policies,,2018-02-20,2018-05-31,https://www.americafirstpolicies.org/data/,
932,American Insights,American Inisghts,,2014-02-15,2014-09-10,,
22,American Political Consultants,American Political Consultants,,1995-10-22,2010-09-26,,
1810,American Pulse,American Pulse Research & Polling,,2023-07-11,2025-07-19,https://www.americanpulse.us/,
1298,American Strategies,American Strategies,,2016-06-20,2023-05-24,http://amstrat.com/,
24,American Viewpoint,American Viewpoint,,1990-07-22,2024-10-10,https://www.amview.com/,
1547,Americana Analytics,Americana Analytics,,2020-02-21,2020-02-21,https://americanaanalytics.com/,
1844,Americans for Prosperity,Americans for Prosperity,REP,2023-11-21,2023-12-18,https://afpaction.com/,
1434,Analytical Group,Analytical Group,,2002-10-28,2002-10-28,https://www.analyticalgroup.com/,
25,Anchorage Daily News,Anchorage Daily News,,1992-09-20,1992-09-20,,
765,Andres-McKenna Research,Andres-McKenna Research,,2003-07-16,2003-07-16,,
26,Angus Reid,Angus Reid Global,,2010-10-06,2024-10-27,http://angusreid.org/,
1125,Answers Unlimited,Answers Unlimited,,2014-09-09,2014-09-09,,
27,Anzalone,Anzalone Liszt Research,,1996-09-08,2012-10-25,,
1695,Arizona Opinion,Arizona Opinion,,2008-05-23,2008-05-23,https://tucson.com/news/local/gop-pollster-margaret-kenski-dies-at-71/article_18132caa-9e14-5bf4-b9f1-4262d272be5f.html,
33,Arizona Republic,Arizona Republic,,1988-03-12,2000-10-09,,
694,Arizona Republic/KOOL-TV,Arizona Republic/KOOL-TV,,1980-10-16,1980-10-16,,
34,Arizona State U.,Arizona State University Morrison Institute for Public Policy,,1992-02-23,2016-10-15,https://morrisoninstitute.asu.edu/,
35,Arkansas Democrat-Gazette,Arkansas Democrat-Gazette,,1988-01-03,1991-09-14,,
36,Arkansas State U.,Arkansas State U.,,2004-04-08,2006-10-11,,
37,Arthur Finklestein & Associates,Arthur J. Finkelstein & Associates,,1988-08-29,2008-07-15,,
38,Asbury Park Press,Asbury Park Press,,1992-07-16,1996-11-02,,
1747,Ascend Action,Ascend Action,,2022-10-10,2022-11-06,https://www.ascendaction.com,
1533,Aspen Media & Market Research,Aspen Media & Market Research,,2006-10-25,2006-10-25,http://aspenmediallc.com/,
1335,Associated Industries of Florida,Associated Industries of Florida,,2014-09-07,2016-10-19,http://www.aif.com/,
28,Associated Press,Associated Press/GfK,,1988-07-02,2012-06-18,https://www.ap.org/en/,
731,Associated Press/Chilton Research Services,Associated Press/Chilton Research Services,,1976-09-23,1976-10-16,,
613,Associated Press/GfK,GfK Group,,2008-09-10,2016-10-24,http://web.archive.org/web/20161031150824/http://ap-gfkpoll.com/poll-archives,
635,Associated Press/NBC,Associated Press/NBC News,,1978-03-22,1982-10-19,,
39,Atlanta Journal Constitution,Atlanta Journal-Constitution,,1976-04-30,2000-10-31,https://www.ajc.com/,
1412,Atlantic Media and Research,Atlantic Media and Research,,2018-06-21,2019-05-30,https://www.washingtonpost.com/blogs/erik-wemple/wp/2017/12/06/atlantic-media-pursues-like-named-research-outfit-over-trademark-infringement/?noredirect=on&utm_term=.b9e886ce501c,
1713,Atlantic Polling Strategies,Atlantic Polling Strategies,,2022-04-28,2022-04-28,https://atlanticpolling.com/,
1528,AtlasIntel,AtlasIntel,,2020-02-02,2025-09-16,https://www.atlasintel.org/,
720,Attitude Analysis and Research,Attitude Analysis and Research,,1972-07-01,1972-07-01,,
1590,Auburn University at Montgomery,Auburn University at Montgomery Department of Political Science and Public Administration,,2020-07-09,2024-02-27,http://www.aum.edu/aum-launches-new-polling-initiative-study-alabama-public-opinion-elections,
647,Austin American-Statesman/Texas Monthly,Austin American-Statesman/Texas Monthly,,1979-11-13,1980-10-16,,
1342,Auto Alliance / ESA / Pulse Opinion Research,Auto Alliance / ESA / Pulse Opinion Research,,2016-10-20,2016-11-06,http://www.allianceesapoll.com/new-poll-results.html,
1489,Avalanche Strategy,Avalanche Strategy,,2019-06-03,2019-10-04,https://www.avalanchestrategy.com/,
1404,Axiom Strategies,Axiom Strategies,,2012-10-22,2012-10-22,https://axiomstrategies.com/,
1411,Axis Research,Axis Research,,2017-10-26,2024-10-20,http://www.axisresearchinc.com/about-axis/,
40,"Ayres, McHenry & Associates","Ayres, McHenry & Associates",,1992-09-03,2012-08-22,http://www.northstaropinion.com/,
1766,BDPC,BDPC,,2022-12-13,2023-07-10,https://bdpcllc.com/,
1535,BIGresearch,BIGresearch,,2003-10-05,2003-10-05,https://bigtokenresearch.com/,
1348,BK Strategies,BK Strategies,,2016-10-28,2024-08-21,https://www.bkstrategiesllc.com/,
1750,BSP Research/Shaw & Company,BSP Research/Shaw & Company Research,,2022-10-18,2022-10-26,https://bspresearch.com/,
1290,BWD Global,BWD Global,,2014-10-21,2016-05-26,http://bwdglobal.com/,
1574,BYU/UW Madison,BYU/UW Madison,,2004-07-03,2004-07-03,https://csed.byu.edu/Pages/home.aspx,
1664,Bainbridge Media Group,Bainbridge Media Group,,2008-10-26,2008-10-26,https://www.linkedin.com/in/chris-van-dyk-6372b77/,
1246,Baldwin Wallace University,Baldwin Wallace University Community Research Institute,,2016-02-20,2023-10-11,http://www.bw.edu/centers/community-research-institute/,
1526,Baldwin Wallace University/Oakland University/Ohio Northern University,Baldwin Wallace University Community Research Institute/Oakland University/Ohio Northern University,,2020-01-20,2020-10-08,https://www.bw.edu/centers/community-research-institute/2020-great-lakes-poll/,
1339,Ball State University,Ball State University Bowen Center for Public Affairs,,2016-10-16,2016-10-16,https://bowencenterforpublicaffairs.org/,
691,Baltimore Sun/Sidney Hollander Associates,Sidney Hollander Associates,,1976-04-03,2005-10-31,https://www.baltimoresun.com/,
44,Bangor Daily News,Bangor Daily News,,1976-10-30,1996-10-30,,
894,Bangor Daily News/Capital News Service,Bangor Daily News/Capital News Service,,1990-09-06,1990-09-06,,
45,Bannon,Bannon Communications Research,,1992-04-30,2004-10-16,http://bannoncr.com/,
583,Bardsley & Haslacher,Bardsley & Haslacher,,,,,
851,Bardsley & Neidhart,Bardsley & Neidhart,,1990-10-26,1996-08-31,,
1565,Barna Research Group,Barna Research Group,,1992-07-01,1996-07-22,https://www.barna.com/,
46,Barry Zeplowitz & Associates,Barry Zeplowitz & Associates,,2010-09-23,2010-09-23,,
1262,Baruch College,Baruch College Survey Research,,2016-04-10,2016-04-10,https://marxe.baruch.cuny.edu/centers-and-institutes/baruch-college-survey-research-bcsr/?_ga=2.140226417.312352420.1590515374-1249656141.1590515374,
47,Baselice & Associates,Baselice & Associates,,1998-09-10,2018-07-29,http://www.baselice.com/,
48,Basswood Research,Basswood Research,,2002-01-31,2020-10-05,,
1549,Battleground Connect,Battleground Connect,,2020-02-27,2024-07-31,https://www.battlegroundconnect.com/,
1683,Battleground Polling,Battleground Polling,,2014-09-24,2014-09-24,http://web.archive.org/web/20121107130546/http://www.battlegroundpolling.com/,
50,Bay,Bay,,,,,
757,Baydoun Consulting,Baydoun Consulting,,2012-02-23,2012-02-27,,
51,Beacon Journal,Beacon Journal,,1992-10-24,1992-10-24,,
1523,Beacon Research,Beacon Research,,2019-11-21,2025-09-20,https://beaconresearch.com/,
1597,Beacon/Shaw,Beacon Research/Shaw & Co. Research,,2008-09-21,2025-09-28,https://www.thedreamcorps.org/update/new-poll-from-cut50-shows-voters-favor-candidates-who-pass-reforms/,
52,Becker Institute,Becker Institute,,1990-07-16,2006-10-08,,
1356,CES / YouGov,CCES/YouGov,,2016-11-06,2024-10-25,https://cces.gov.harvard.edu/,
1867,CNN/ORC,CNN/Opinion Research Corporation,,2002-04-11,2017-04-25,https://www.cnn.com/,
1866,CNN/SSRS,CNN/SSRS,,2017-08-06,2025-09-01,https://www.cnn.com/,
1276,CPEC LLC,CPEC,,2016-04-21,2020-09-17,http://www.cpecllc.com/,
1794,CRC Research,CRC Research,,2021-04-18,2023-03-20,https://crcadvisors.com/,
1367,CSP Polling,CSP Polling,,2017-06-17,2017-06-17,http://csppolling.org/,
1264,CSRA/Freedom Forum,University of Connecticut,,1995-09-22,1999-03-22,https://en.wikipedia.org/wiki/Freedom_Forum,
817,CVOTER International,CVOTER,,2012-09-08,2016-11-06,http://www.teamcvoter.com/,
1703,CWS Research,CWS Research,,2022-02-07,2024-10-04,https://www.bizapedia.com/tx/cws-research-llc.html,
1534,"California State University, Bakersfield","California State University, Bakersfield",,2000-10-21,2000-10-21,https://www.csub.edu/,
920,CallFire,CallFire,,2012-10-10,2012-10-31,https://developers.callfire.com/usecase-political-poll.html,
73,Cambridge Reports,Cambridge Reports,,1976-07-31,1995-01-01,https://cdn.muckrock.com/outbound_composer_attachments/foiathedead/67720/patrick-caddell-nyt-obit-20190216.pdf,
722,Cambridge Survey Research,Cambridge Survey Research,,1972-08-16,1972-10-11,,
74,Campaign Strategies,Campaign Strategies,,1988-01-31,1988-01-31,,
75,Canisius,Canisius College,,2004-02-20,2004-02-20,,
1849,Capen Analytics,Capen Analytics,,2024-02-21,2024-02-21,https://www.capenconsulting.com/,
76,Capital News Service,Capital News Service,,1988-06-16,1988-10-07,,
77,Capital Survey,Capital Survey Research Center,,1996-10-25,2012-08-16,,
1739,Capitol Communications,Capitol Communications,,2022-08-22,2022-08-22,https://www.paulshumaker.com/,
1491,Capitol Weekly,Capitol Weekly,,2019-04-30,2025-05-31,https://capitolweekly.net/,
78,Capstone,Capstone,,1988-10-11,1988-10-11,,
1593,Cardinal Point Analytics (CardinalGPS),Cardinal Point Analytics,,2020-07-15,2020-10-28,https://cpapolling.com/,
1371,Cards Against Humanity/Survey Sampling International,Survey Sampling International,,2017-09-30,2018-08-15,https://thepulseofthenation.com/#intro,
860,Carnegie Mellon U.,Carnegie Mellon U.,,1994-10-06,1994-10-06,,
1644,Carolina Strategy Group,Carolina Strategy Group,,2009-06-16,2009-06-16,https://opencorporates.com/companies/us_nc/0995404,
1409,Carroll Strategies,Carroll Strategies,,2018-06-16,2018-10-29,http://www.carrollstrategies.net/,
758,Castleton University,The Castleton Polling Institute,,2012-02-22,2016-10-14,http://poll.castleton.edu/aboutus.htm,
1681,Causeway Solutions,Causeway Solutions,,2018-09-11,2023-10-11,https://causewaysolutions.com/,
1734,Center Street PAC,Center Street PAC,DEM,2022-03-04,2022-10-30,https://web.archive.org/web/20221110034449/https://centerstreetpac.com/,
83,Centerre Bancorporation/Missourinet,Centerre Bancorporation/Missourinet,,1987-12-10,1987-12-10,,
84,Central Research Corp.,Central Research Corp.,,1988-09-27,1992-10-29,,
85,Central Surveys,Central Surveys Inc.,,2004-10-19,2004-10-19,,
1222,Centre College,Centre College,,2015-03-18,2016-10-23,https://informationknoll.wordpress.com/surveys-and-exit-polls/,
878,Chamberlain Research,Chamberlain Research,,1992-10-16,1992-10-16,,
1365,Change Research,Change Research,,2017-05-23,2025-09-08,https://www.changeresearch.com/,"methodology always Text-to-Web/Online Ad unless otherwise noted, see https://changeresearch.com/methodology/"
86,Charleston Daily Mail,Charleston Daily Mail,,1979-11-01,1996-10-27,,
87,Charleston Gazette,Charleston Gazette,,1984-05-29,1988-09-29,,
879,Charleston Post-Courier,Charleston Post-Courier,,1992-10-23,1992-10-23,,
88,Charlotte Observer,Charlotte Observer,,1980-09-03,1992-10-19,,
89,Chernoff Newman/MarketSearch,Chernoff Newman/MarketSearch,,2007-04-16,2007-04-16,,
750,Cherry Communications,Cherry Communications,,2012-01-23,2024-10-20,http://www.cherrycomm.com/,
90,Chicago Sun-Times,Chicago Sun-Times,,1976-02-27,1990-10-03,https://chicago.suntimes.com/,
652,Chicago Sun-Times/WMAQ-TV,Chicago Sun-Times/WMAQ-TV,,1980-01-30,1980-11-01,,
91,Chicago Tribune,Chicago Tribune,,1972-09-30,1992-10-19,,
648,Chicago Tribune/Market Facts,Chicago Tribune/Market Facts,,1979-11-11,1986-09-16,,
799,Chilenski Strategies,Chilenski Strategies,,2012-08-08,2012-09-20,,
93,Chilton Research,Chilton Research,,1987-12-18,1996-09-26,,
1015,Chism Strategies,Chism Strategies,,2014-05-29,2024-10-30,http://chismstrategies.com/,
94,Christopher Newport U.,Christopher Newport University Wason Center for Civic Leadership,,2007-10-01,2025-10-01,http://cnu.edu/wasoncenter/surveys/,
96,Cincinnati Enquirer,Cincinnati Enquirer,,1996-10-19,1996-10-19,,
95,Cincinnati Post,Cincinnati Post,,1988-09-19,1988-09-19,,
97,Ciruli Associates,Ciruli Associates,,1990-08-10,2016-10-31,http://www.ciruli.com/index.htm,
1620,Citizen Data,Citizen Data,,2020-09-07,2025-02-10,https://citizendata.com/,
1824,CivicScience,CivicScience,,2023-09-14,2023-09-14,https://civicscience.com/,
1447,Civiqs,Civiqs,,2018-08-11,2025-06-27,https://civiqs.com/,
1479,Civis Analytics,Civis Analytics,,2018-12-09,2020-01-19,https://www.civisanalytics.com/,
1196,Civis Analytics (telephone),Civis Analytics,,2015-08-19,2016-08-15,https://civisanalytics.com/,
1914,Claflin University,Claflin University Public Opinion and Social Behavior Research Institute,,2024-10-10,2024-10-10,https://www.claflin.edu/academics-research/schools-departments/school-of-humanities-and-social-sciences/department-of-social-sciences/political-science/public-opinion-and-social-behavior-research-institute-(posbri),
921,Clarity,Clarity Campaign Labs,,2012-10-26,2025-09-11,https://www.claritycampaigns.com/,
693,Clark U.,Clark U.,,1980-10-21,1980-10-21,,
98,Clarus Research Group,Clarus Research Group,,2009-08-18,2015-09-23,http://www.clarusrg.com/,See also https://www.qorvis.com/how-we-do-it/clarus-research-group
1498,Claster Consulting,Claster Consulting,,2019-07-31,2019-08-29,https://opencorporates.com/companies/us_dc/EXTUID_4159578,
1291,Clearview Research,Clearview Research,,2018-03-07,2020-10-12,https://www.clearviewresearch.com/,
99,Clemson,Clemson University,,2006-10-25,2020-02-25,http://newsstand.clemson.edu/?s=palmetto+poll,
735,Cleveland Plain Dealer,Cleveland Plain Dealer,,1972-11-04,1972-11-04,,
1486,Climate Nexus,Climate Nexus,,2019-04-17,2024-06-10,https://climatenexus.org/,
1305,Clout Research,Clout Research,,2013-10-23,2022-10-09,http://cloutpolitical.com/,
1595,Colby College,Colby College,,2020-02-13,2020-10-25,http://www.colby.edu/government/2020-polling/,
102,Cole Hargrave,Cole Hargrave Snodgrass & Associates,,1992-10-23,2025-08-10,https://chs-inc.com/,
1897,Colorado Community Research,Colorado Community Research,,2024-09-25,2024-09-25,https://www.coloradocommunityresearch.com/,
1321,Colorado Mesa University/Franklin & Marshall College,Franklin & Marshall College Center for Opinion Research,,2016-09-18,2016-09-18,http://www.fandm.edu/fandmpoll,
103,Coloradoan,Coloradoan,,1996-09-21,1996-09-21,,
104,Columbus Dispatch,Columbus Dispatch,,1976-09-25,2016-11-05,https://www.dispatch.com/,
1637,Cometrends,Cometrends,,2020-10-26,2020-10-26,https://cometrends.utdallas.edu/,
105,Commonwealth Foundation,Lincoln Institute,,2000-03-26,2000-10-18,https://www.lincolninstitute.org/category/surveys/,
1419,Commonwealth Leaders Fund,Commonwealth Leaders Fund,,,,https://commonwealthleaders.wordpress.com,
1376,Communication Concepts,Communication Concepts,,2011-06-29,2022-11-21,http://www.comm-concepts.com/,
1682,Communication Express,Communication Express,,2014-09-30,2014-09-30,https://comexpress.com/comexp08/main.html,
1221,Compass Consulting,Compass Consulting,,2015-12-16,2015-12-20,https://www.linkedin.com/in/joe-caccitolo-5245824,
1675,Competitive Edge Research and Communication,Competitive Edge Research & Communication,,2021-06-04,2021-06-04,https://www.cerc.net/,
863,Concord Monitor,Concord Monitor,,1996-01-17,2002-09-15,,
